collected_at_utc,robot_id,robot_name,db_name,query,search_url,hit_count,status,notes
2026-08-11T13:38:49+00:00,ROBOT-0011,Joobie,ACM_DL,"""Joobie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22Joobie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0011,Joobie,SCOPUS,"""Joobie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22Joobie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0012,Pophie,PUBMED,"(Pophie[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Pophie%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0012,Pophie,IEEE_XPLORE,"""Pophie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Pophie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0012,Pophie,ACM_DL,"""Pophie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22Pophie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0012,Pophie,SCOPUS,"""Pophie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22Pophie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0013,ElliQ 3,PUBMED,"(ElliQ 3[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28ElliQ%203%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0013,ElliQ 3,IEEE_XPLORE,"""ElliQ 3"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22ElliQ%203%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0013,ElliQ 3,ACM_DL,"""ElliQ 3"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22ElliQ%203%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0013,ElliQ 3,SCOPUS,"""ElliQ 3"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22ElliQ%203%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0014,Loona,PUBMED,"(Loona[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Loona%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0014,Loona,IEEE_XPLORE,"""Loona"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Loona%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0014,Loona,ACM_DL,"""Loona"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22Loona%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0014,Loona,SCOPUS,"""Loona"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22Loona%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0015,Loona DeskMate,PUBMED,"(Loona DeskMate[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Loona%20DeskMate%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
